Cust_id,target_flag,w1_IS_CALL_ACTIVE,w1_IS_SMS_ACTIVE,w1_IS_INTERNET_ACTIVE,w1_IS_VAS_ACTIVE,w1_IS_PRODUCT_ACTIVE,w1_IS_RECHARGE_ACTIVE,w1_TOTAL_REVENUE,w1_CALL_COUNT,w1_GPRS_VOLUME,w1_LOAN_COUNT,w1_TOTAL_TRAFFIC_REVENUE,w1_CALL_REVENUE,W1_U_SBSCRP_REV_T6,W1_U_VAS_REV_T6,w1U_IB_VC_CC_CNT_T6,W1_RECH_AMT,W1_U_VAS_LNRTRN_CNT_T6
245,0,7,1,7,1,6,0,0,67,1349910,0,0,0,0,0,7,0,0
246,0,7,6,1,1,0,0,0,208,484,0,0,0,0,0,7,0,3
247,0,4,7,7,7,7,1,323.5788,7,1292301,0,112.0788,33.875,201,10.5,6,500,0
248,0,5,0,7,0,5,1,254.995,15,15061777,1,63.375,63.375,188.12,0,7,200,3
249,0,6,6,7,1,6,2,268.325,41,5991468,0,128.325,122.125,0,0,6,270,0
250,0,7,0,7,2,1,1,168.725,54,5051615,1,5.225,4.625,160,18.5,7,170,4
251,0,7,4,7,7,7,2,298.8,55,4127977,1,64.8,59.4,220,29,7,300,1
252,0,7,0,7,3,7,5,388.0845,171,4090953,5,29.5845,28.575,91,92.5,7,400,7
253,0,5,0,3,6,7,2,42.95,14,7503,1,11.95,10.55,20,44.5,6,80,5
254,0,2,0,0,1,0,0,18.25,10,0,0,18.25,18.05,0,0,2,0,0
255,0,0,0,1,0,0,0,0,0,5644,0,0,0,0,0,0,0,3
256,0,0,0,7,0,1,1,250.0058,0,3444797,0,0.0058,0,0,0,0,250,3
257,0,7,4,7,1,2,2,320.88,20,629625,1,18.5,17.5,298.88,18.5,3,300,2
258,0,7,1,5,6,6,2,439.375,107,444820,0,20.375,18.175,410,27.5,7,600,1
259,0,5,1,0,4,3,2,58.875,27,0,1,37.375,34.575,18,37,7,150,2
260,0,7,1,7,6,4,2,241.675,17,4428546,1,72.175,4.525,160,6,6,228,3
261,0,7,2,7,7,7,3,173.9,68,16680,1,81.9,76.7,78,47.5,6,250,3
263,0,7,2,4,7,7,1,129.328,100,526689,1,20.328,12.5,95,29,7,120,2
264,0,7,7,0,5,3,1,178.685,219,0,2,33.325,31.725,130,26.86,7,150,2
265,0,7,6,7,0,1,0,3.51,24,1396986,1,0,0,0.01,0,7,0,0
266,0,7,2,0,0,0,0,0,126,0,0,0,0,0,0,7,0,0
